Label,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Question,var_info
Most drinks on single occasion past 30 days,Alcohol Consumption,,4,236-237,Num,MAXDRNKS,,"During the past 30 days, what is the largest number of drinks you had on any occasion?","{'Value': ['1 - 76', '88', '77', '99', 'BLANK'], 'Value Label': ['Number of drinks', 'Invalid response', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Section 12.01, ALCDAY4, is coded 888, 777, or 999 or Missing'], 'Frequency': ['205,591', '2', '4,821', '872', '222,037'], 'Percentage': ['97.30', '0.00', '2.28', '0.41', '.'], 'Weighted Percentage': ['96.49', '0.00', '3.00', '0.51', '.']}"
Adult flu shot/spray past 12 mos,Immunization,,1,238,Num,FLUSHOT7,,"During the past 12 months, have you had either flu vaccine that was sprayed in your nose or flu shot injected into your arm?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No -  Go to Section 13.03 PNEUVAC4', ""Don't know/Not Sure -  Go to Section 13.03 PNEUVAC4"", 'Refused -  Go to Section 13.03 PNEUVAC4', ''], 'Frequency': ['197,294', '204,711', '2,796', '771', '27,751'], 'Percentage': ['48.65', '50.47', '0.69', '0.19', '.'], 'Weighted Percentage': ['41.77', '57.29', '0.77', '0.18', '.']}"
When did you receive your most recent seasonal flu shot/spray?,Immunization,,2,239-244,Num,FLSHTMY3,,During what month and year did you receive your most recent flu vaccine that was sprayed in your nose or flu shot injected into your arm?,"{'Value': ['12022 - 122023', '777777', '999999', 'BLANK'], 'Value Label': ['Month / Year', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 15.01, FLUSHOT7, is coded 2, 7, or 9 or Missing'], 'Frequency': ['179,143', '17,338', '501', '236,341'], 'Percentage': ['90.94', '8.80', '0.25', '.'], 'Weighted Percentage': ['89.70', '10.07', '0.23', '.']}"
Pneumonia shot ever,Immunization,,3,245,Num,PNEUVAC4,,Have you ever had a pneumonia shot also known as a pneumococcal vaccine?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['162,037', '208,403', '33,390', '743', '28,750'], 'Percentage': ['40.05', '51.51', '8.25', '0.18', '.'], 'Weighted Percentage': ['31.26', '58.37', '10.19', '0.17', '.']}"
Have you ever had the shingles or zoster vaccine?,Immunization,,4,246,Num,SHINGLE2,,Have you ever had the shingles or zoster vaccine?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 08.01, AGE, is less than 50;'], 'Frequency': ['126,962', '125,993', '3,305', '338', '176,725'], 'Percentage': ['49.48', '49.10', '1.29', '0.13', '.'], 'Weighted Percentage': ['43.59', '54.81', '1.44', '0.16', '.']}"
Ever tested H.I.V.,HIV/AIDS,,1,247,Num,HIVTST7,,"Including fluid testing from your mouth, but not including tests you may have had for blood donation, have you ever been tested for H.I.V?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No -  Go to Section 15.01 SEATBELT', ""Don't know/Not Sure -  Go to Section 15.01 SEATBELT"", 'Refused -  Go to Section 15.01 SEATBELT', 'Not asked or Missing'], 'Frequency': ['133,482', '249,505', '20,131', '592', '29,613'], 'Percentage': ['33.06', '61.80', '4.99', '0.15', '.'], 'Weighted Percentage': ['37.07', '58.26', '4.52', '0.15', '.']}"
Month and Year of Last HIV Test,HIV/AIDS,,2,248-253,Num,HIVTSTD3,,"Not including blood donations, in what month and year was your last H.I.V. test?  (If response is before January 1985, code 777777.)","{'Value': ['11985 - 122024', '777777', '999999', 'BLANK'], 'Value Label': ['Code month and yearNotes: _ _/_ _ _ _  month and year', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Section 14.01, HIVTST7, is coded 2, 7, 9, or Missing'], 'Frequency': ['95,650', '36,983', '632', '300,058'], 'Percentage': ['71.77', '27.75', '0.47', '.'], 'Weighted Percentage': ['74.02', '25.51', '0.48', '.']}"
How often use seatbelts in car?,Seatbelt Use and Drinking and Driving,,1,254,Num,SEATBELT,,How often do you use seat belts when you drive or ride in a car? Would you say:,"{'Value': ['1', '2', '3', '4', '5', '7', '8', '9', 'BLANK'], 'Value Label': ['Always', 'Nearly always', 'Sometimes', 'Seldom', 'Never', ""Don't know/Not sure"", 'Never drive or ride in a car -  Go to Section 16.1 COVIDPO1', 'Refused', 'Not asked or Missing'], 'Frequency': ['350,207', '28,281', '10,885', '4,309', '7,263', '362', '873', '365', '30,778'], 'Percentage': ['87.00', '7.03', '2.70', '1.07', '1.80', '0.09', '0.22', '0.09', '.'], 'Weighted Percentage': ['87.49', '6.41', '2.59', '0.95', '2.07', '0.10', '0.29', '0.10', '.']}"
Did you drive after having too much to drink in the past 30 days?,Seatbelt Use and Drinking and Driving,,2,255-256,Num,DRNKDRI2,,"During the past 30 days, how many times have you driven when you've had perhaps too much to drink?","{'Value': ['1 - 76', '88', '77', '99', 'BLANK'], 'Value Label': ['Number of timesNotes: _ _ Number of times', 'None', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Section 12.01, ALCDAY4, is coded 888 or: Section 14.01, SEATBELT, is coded 8'], 'Frequency': ['6,192', '205,541', '685', '587', '220,318'], 'Percentage': ['2.91', '96.50', '0.32', '0.28', '.'], 'Weighted Percentage': ['2.87', '96.32', '0.48', '0.33', '.']}"
Have you ever tested positive for COVID-19?,Long-term COVID Effects,,1,257,Num,COVIDPO1,,"Have you ever tested positive for COVID-19 (using a rapid point-of-care test, self-test, or laboratory test) or been told by a doctor or other health care provider that you have or had COVID-19?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No -  Go to Modules or Closing Statement', ""Don't know/Not Sure -  Go to Modules or Closing Statement"", 'Refused -  Go to Modules or Closing Statement', 'Not asked or Missing'], 'Frequency': ['201,248', '197,981', '1,032', '1,047', '32,015'], 'Percentage': ['50.15', '49.33', '0.26', '0.26', '.'], 'Weighted Percentage': ['51.90', '47.56', '0.24', '0.29', '.']}"
Do you currently have Covid-19 symptoms?,Long-term COVID Effects,,2,258,Num,COVIDSM1,,Do you currently have symptoms lasting 3 months or longer that you did not have prior to having coronavirus or COVID-19?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No -  Go to Modules or Closing Statement', ""Don't know/Not Sure -  Go to Modules or Closing Statement"", 'Refused -  Go to Modules or Closing Statement', 'Not asked or MissingNotes: Section 16.01, COVIDPO1, is coded 2, 7, 9, or Missing;'], 'Frequency': ['27,074', '170,893', '2,924', '126', '232,306'], 'Percentage': ['13.47', '85.01', '1.45', '0.06', '.'], 'Weighted Percentage': ['13.59', '84.99', '1.32', '0.10', '.']}"
Do long-term symptoms reduce ability to carry out activities?,Long-term COVID Effects,,3,259,Num,COVIDACT,,Do these long-term symptoms reduce your ability to carry out day-to-day activities compared with the time before you COVID-19?,"{'Value': ['1', '2', '3', '7', '9', 'BLANK'], 'Value Label': ['Yes, a lot', 'Yes, a little', 'Not at all', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 16.01, COVIDPO1, is coded 2, 7, 9, or Missing; or Section 16.02, COVIDSM1, is coded 2, 7, 9, or Missing;'], 'Frequency': ['5,722', '10,324', '10,698', '257', '35', '406,287'], 'Percentage': ['21.16', '38.19', '39.57', '0.95', '0.13', '.'], 'Weighted Percentage': ['19.95', '39.10', '40.01', '0.82', '0.12', '.']}"
When was your last blood test for high blood sugar?,Pre-Diabetes,,1,260,Num,PDIABTS1,,"When was the last time you had a blood test for high blood sugar or diabetes by a doctor, nurse, or other health professional?","{'Value': ['1', '2', '3', '4', '5', '6', '7', '8', '9', 'BLANK'], 'Value Label': ['Within the past year (anytime less than 12 months ago)', 'Within the past 2 years (1 year but less than 2 years)', 'Within the past 3 years (2 years but less than 3 years)', 'Within the past 5 years (3 to 4 years but less than 5 years ago)', 'Within the past 10 years (5 to 9 years but less than 10 years ago)', '10 or more years ago', ""Don't know / Not sure"", 'Never', 'Refused', 'Not asked or MissingNotes: Section 07.12, DIABETE4, is coded 1'], 'Frequency': ['108,840', '16,160', '5,495', '4,959', '3,372', '2,649', '11,324', '13,230', '220', '267,074'], 'Percentage': ['65.47', '9.72', '3.31', '2.98', '2.03', '1.59', '6.81', '7.96', '0.13', '.'], 'Weighted Percentage': ['61.65', '10.72', '3.94', '3.31', '2.26', '1.48', '6.95', '9.57', '0.13', '.']}"
Ever been told by a doctor or other health professional that you have pre-diabetes or borderline diabetes?,Pre-Diabetes,,2,261,Num,PREDIAB2,,"Has a doctor or other health professional ever told you that you had prediabetes or borderline diabetes?  (If Yes -   and respondent is female, ask: 'Was this only when you were pregnant?')","{'Value': ['1', '2', '3', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'Yes, during pregnancy', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 07.12, DIABETE4, is coded 1; If Section 07.12, DIABETE4, is coded 4 automatically code Module 01.02, PREDIAB2, equal to 1 (yes);'], 'Frequency': ['23,945', '1,522', '139,723', '823', '139', '267,171'], 'Percentage': ['14.41', '0.92', '84.09', '0.50', '0.08', '.'], 'Weighted Percentage': ['14.57', '1.06', '83.67', '0.60', '0.10', '.']}"
What type of diabetes do you have?,Diabetes,,1,262,Num,DIABTYPE,,"According to your doctor or other health professional, what type of diabetes do you have?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Type 1', 'Type 2', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 07.12, DIABETE4, is coded 2, 3, 4, 7, 9, or Missing'], 'Frequency': ['1,958', '20,069', '2,199', '49', '409,048'], 'Percentage': ['8.07', '82.67', '9.06', '0.20', '.'], 'Weighted Percentage': ['8.65', '80.39', '10.78', '0.17', '.']}"
Now Taking Insulin,Diabetes,,2,263,Num,INSULIN1,,Are you now taking insulin?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 07.12, DIABETE4, is coded 2, 3, 4, 7, 9, or Missing'], 'Frequency': ['7,802', '16,347', '101', '18', '409,055'], 'Percentage': ['32.15', '67.36', '0.42', '0.07', '.'], 'Weighted Percentage': ['30.63', '68.93', '0.36', '0.09', '.']}"
Times Checked for Glycosylated Hemoglobin,Diabetes,,3,264-265,Num,CHKHEMO3,,"About how many times in the past 12 months has a doctor, nurse, or other health professional checked you for A-one-C?","{'Value': ['1 - 76', '88', '98', '77', '99', 'BLANK'], 'Value Label': ['Number of times  [76=76 or more]Notes: _ _ Number of times, 76 = 76 or more', 'None', ""Never heard of 'A one C' test"", ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Section 07.12, DIABETE4, is coded 2, 3, 4, 7, 9, or Missing'], 'Frequency': ['21,518', '1,130', '170', '1,333', '109', '409,063'], 'Percentage': ['88.70', '4.66', '0.70', '5.49', '0.45', '.'], 'Weighted Percentage': ['84.47', '6.53', '1.15', '7.16', '0.69', '.']}"
Last Eye Exam Where Pupils Were Dilated,Diabetes,,4,266,Num,EYEEXAM1,,"When was the last time you had an eye exam in which the pupils were dilated, making you temporarily sensitive to bright light?","{'Value': ['1', '2', '3', '4', '7', '8', '9', 'BLANK'], 'Value Label': ['Within the past month (anytime less than 1 month ago)', 'Within the past year (1 month but less than 12 months ago)', 'Within the past 2 years (1 year but less than 2 years ago)', '2 or more years ago', ""Don't know/Not sure"", 'Never', 'Refused', 'Not asked or MissingNotes: Section 07.12, DIABETE4, is coded 2, 3, 4, 7, 9, or Missing'], 'Frequency': ['4,747', '12,216', '2,982', '2,634', '571', '1,070', '33', '409,070'], 'Percentage': ['19.57', '50.37', '12.30', '10.86', '2.35', '4.41', '0.14', '.'], 'Weighted Percentage': ['18.46', '46.79', '12.48', '12.48', '3.09', '6.56', '0.14', '.']}"
When was the last time a they took a photo of the back of your eye?,Diabetes,,5,267,Num,DIABEYE1,,"When was the last time a doctor, nurse or other health professional took a photo of the back of your eye with a specialized camera?","{'Value': ['1', '2', '3', '4', '7', '8', '9', 'BLANK'], 'Value Label': ['Within the past month (anytime less than 1 month ago)', 'Within the past year (1 month but less than 12 months ago)', 'Within the past 2 years (1 year but less than 2 years ago)', '2 or more years ago', ""Don't know/Not sure"", 'Never', 'Refused', 'Not asked or MissingNotes: Section 07.12, DIABETE4, is coded 2, 3, 4, 7, 9, or Missing'], 'Frequency': ['3,719', '10,424', '2,468', '2,274', '2,972', '2,364', '23', '409,079'], 'Percentage': ['15.34', '43.00', '10.18', '9.38', '12.26', '9.75', '0.09', '.'], 'Weighted Percentage': ['14.85', '40.91', '10.64', '10.38', '11.17', '11.92', '0.13', '.']}"
When was the last time you took a course or class in how to manage your diabetes?,Diabetes,,6,268,Num,DIABEDU1,,When was the last time you took a course or class in how to manage your diabetes yourself?,"{'Value': ['1', '2', '3', '4', '5', '6', '7', '8', '9', 'BLANK'], 'Value Label': ['Within the past year (anytime less than 12 months ago)', 'Within the last 2 years (1 year but less than 2 years ago)', 'Within the last 3 years (2 years but less than 3 years ago)', 'Within the last 5 years (3 to 4 years but less than 5 years ago)', 'Within the last 10 years (5 to 9 years but less than 10 years ago)', '10 years ago or more', ""Don't know/Not sure"", 'Never', 'Refused', 'Not asked or MissingNotes: Section 07.12, DIABETE4, is coded 2, 3, 4, 7, 9, or Missing'], 'Frequency': ['2,607', '1,268', '939', '1,486', '1,498', '3,388', '1,113', '11,877', '64', '409,083'], 'Percentage': ['10.75', '5.23', '3.87', '6.13', '6.18', '13.98', '4.59', '49.00', '0.26', '.'], 'Weighted Percentage': ['10.96', '5.71', '3.79', '5.77', '6.01', '11.38', '5.25', '50.91', '0.21', '.']}"
Ever Had Feet Sores or Irritations Lasting More Than Four Weeks,Diabetes,,7,269,Num,FEETSORE,,Have you ever had any sores or irritations on your feet that took more than four weeks to heal?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Section 07.12, DIABETE4, is coded 2, 3, 4, 7, 9, or Missing'], 'Frequency': ['2,261', '21,888', '72', '17', '409,085'], 'Percentage': ['9.33', '90.30', '0.30', '0.07', '.'], 'Weighted Percentage': ['9.71', '89.92', '0.30', '0.08', '.']}"
Dr. Suggest Use of Physical Activity or Exercise for Arthritis or Joint Symptoms,Arthritis,,1,270,Num,ARTHEXER,,"Has a doctor or other health professional ever suggested physical activity or exercise to help your arthritis or joint symptoms?  (If the respondent is unclear about whether this means an increase or decrease in physical activity, this means increase.)","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 07.11, HAVARTH4, is coded 2, 7, 9, or Missing'], 'Frequency': ['14,553', '8,444', '296', '30', '410,000'], 'Percentage': ['62.40', '36.20', '1.27', '0.13', '.'], 'Weighted Percentage': ['63.35', '35.18', '1.26', '0.21', '.']}"
Ever Taken Class in Managing Arthritis or Joint Symptoms,Arthritis,,2,271,Num,ARTHEDU,,Have you ever taken an educational course or class to teach you how to manage problems related to your arthritis or joint symptoms?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 07.11, HAVARTH4, is coded 2, 7, 9, or Missing'], 'Frequency': ['3,476', '19,692', '111', '17', '410,027'], 'Percentage': ['14.92', '84.53', '0.48', '0.07', '.'], 'Weighted Percentage': ['15.80', '83.58', '0.44', '0.18', '.']}"
Limited Because of Joint Symptoms,Arthritis,,3,272,Num,LMTJOIN3,,Are you now limited in any way in any of your usual activities because of arthritis or joint symptoms?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Section 07.11, HAVARTH4, is coded 2, 7, 9, or Missing'], 'Frequency': ['9,825', '13,207', '198', '32', '410,061'], 'Percentage': ['42.24', '56.77', '0.85', '0.14', '.'], 'Weighted Percentage': ['43.83', '55.15', '0.74', '0.28', '.']}"
Does Arthritis Affect Whether You Work,Arthritis,,4,273,Num,ARTHDIS2,In this next question we are referring to work for pay.,"Do arthritis or joint symptoms now affect whether you work, the type of work you do or the amount of work you do?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'MissingNotes: Section 07.11, HAVARTH4, is coded 2, 7, 9, or Missing'], 'Frequency': ['5,606', '17,058', '389', '160', '410,110'], 'Percentage': ['24.15', '73.48', '1.68', '0.69', '.'], 'Weighted Percentage': ['28.59', '68.93', '1.76', '0.73', '.']}"
How Bad Was Joint Pain,Arthritis,,5,274-275,Num,JOINPAI2,"Please think about the past 30 days, keeping in mind all of your joint pain or aching and whether or not you have taken medication.","During the past 30 days, how bad was your joint pain on average on a scale of 0 to 10 where 0 is no pain and 10 is pain or aching as bad as it can be?","{'Value': ['0 - 10', '11', '12', '22', '33', '44', '55', '66', '88', '77', '99', 'BLANK'], 'Value Label': ['Enter number [0-10]', '', '', '', '', '', '', '', '', ""Don't know/Not Sure"", 'Refused', 'MissingNotes: Section 07.11, HAVARTH4, is coded 2, 7, 9, or Missing'], 'Frequency': ['21,936', '52', '1', '90', '123', '105', '140', '79', '98', '392', '136', '410,171'], 'Percentage': ['94.75', '0.22', '0.00', '0.39', '0.53', '0.45', '0.60', '0.34', '0.42', '1.69', '0.59', '.'], 'Weighted Percentage': ['90.45', '0.57', '0.00', '0.90', '1.21', '0.95', '1.40', '0.86', '0.91', '1.89', '0.84', '.']}"
How old when you first started smoking?,Lung Cancer Screening,,1,276-278,Num,LCSFIRST,,How old were you when you first started to smoke cigarettes regularly,"{'Value': ['1 - 100', '777', '888', '999', 'BLANK'], 'Value Label': ['Age in Years', ""Don't know/Not Sure"", 'Never smoked cigarettes regularly -  Go to Module 04.04 LCSCTSC1', 'Refused', 'Not asked or MissingNotes: Section 11.01, SMOKE100, is coded 2, 7, 9, or Missing; or Section 11.02, SMOKDAY2, is coded 7, 9, or Missing;'], 'Frequency': ['8,064', '155', '293', '29', '424,782'], 'Percentage': ['94.42', '1.81', '3.43', '0.34', '.'], 'Weighted Percentage': ['94.06', '2.01', '3.66', '0.28', '.']}"
How old when you last smoked?,Lung Cancer Screening,,2,279-281,Num,LCSLAST,,How old were you when you last smoked cigarettes regularly?,"{'Value': ['1 - 100', '777', '999', 'BLANK'], 'Value Label': ['Age in Years', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 11.01, SMOKE100, is coded 2, 7, 9, or Missing; or Section 11.02, SMOKDAY2, is coded 1; or Module 04.01, LCSFIRST, is coded 888 or Missing'], 'Frequency': ['6,408', '301', '39', '426,575'], 'Percentage': ['94.96', '4.46', '0.58', '.'], 'Weighted Percentage': ['95.14', '4.40', '0.46', '.']}"
"On average, how many cigarettes do you smoke each day?",Lung Cancer Screening,,3,282-284,Num,LCSNUMCG,,"On average, when you {smoke/smoked} regularly, about how many cigarettes {do/did} you usually smoke each day?","{'Value': ['1 - 300', '777', '999', 'BLANK'], 'Value Label': ['Number of cigarettes', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 11.01, SMOKE100, is coded 2, 7, 9, or Missing; or Section 11.02, SMOKDAY2, is coded 7, 9, or Missing; or Module 04.01, LCSFIRST, is coded 888 or Missing'], 'Frequency': ['7,865', '286', '48', '425,124'], 'Percentage': ['95.93', '3.49', '0.59', '.'], 'Weighted Percentage': ['95.76', '3.68', '0.56', '.']}"
Did you have a CT or CAT scan?,Lung Cancer Screening,,4,285,Num,LCSCTSC1,"The next question is about CT or CAT scans of your chest area. During this test, you lie flat on your back and are moved through an open, donut shaped x-ray machine.",Have you ever had a CT or CAT scan of your chest area?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No -  Go to next module', ""Don't know/Not sure -  Go to next module"", 'Refused -  Go to next module', 'Not asked or Missing'], 'Frequency': ['10,292', '12,852', '823', '128', '409,228'], 'Percentage': ['42.71', '53.34', '3.42', '0.53', '.'], 'Weighted Percentage': ['34.82', '61.28', '3.03', '0.87', '.']}"
Were any CT or CAT scans done to check for lung cancer?,Lung Cancer Screening,,5,286,Num,LCSSCNCR,,Were any of the CT or CAT scans of your chest area done mainly to check or screen for lung cancer?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No -  Go to next module', ""Don't know/Not sure -  Go to next module"", 'Refused -  Go to next module', 'Not asked or MissingNotes: Module 04.04, LCSTSC1, is coded 2, 7, 9 or Missing'], 'Frequency': ['1,964', '7,774', '531', '3', '423,051'], 'Percentage': ['19.12', '75.68', '5.17', '0.03', '.'], 'Weighted Percentage': ['17.31', '77.65', '5.00', '0.04', '.']}"
When did you have your most recent CT or CAT scan?,Lung Cancer Screening,,6,287,Num,LCSCTWHN,,When did you have your most recent CT or CAT scan of your chest area mainly to check or screen for lung cancer?,"{'Value': ['1', '2', '3', '4', '5', '6', '7', '9', 'BLANK'], 'Value Label': ['Within the past year (anytime less than 12 months ago)', 'Within the past 2 years (1 year but less than 2 years)', 'Within the past 3 years (2 years but less than 3 years)', 'Within the past 5 years (3 years but less than 5 years)', 'Within the past 10 years (5 years but less than 10 years ago)', '10 or more years ago', ""Don't know / Not sure"", 'Refused', 'Not asked or MissingNotes: Module 04.04, LCSTSC1, is coded 2, 7, 9 or Missing; or Module 04.05, LCSSCNCR, is coded 2, 7, 9 or Missing'], 'Frequency': ['940', '277', '178', '176', '150', '151', '86', '2', '431,363'], 'Percentage': ['47.96', '14.13', '9.08', '8.98', '7.65', '7.70', '4.39', '0.10', '.'], 'Weighted Percentage': ['45.03', '14.50', '10.13', '9.35', '8.20', '9.15', '3.53', '0.11', '.']}"
Have You Ever Had a Mammogram,Breast and Cervical Cancer Screening,,1,288,Num,HADMAM,,Have you ever had a mammogram?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No -  Go to Module 05.03 CERVSCRN', ""Don't know/Not sure -  Go to Module 05.03 CERVSCRN"", 'Refused -  Go to Module 05.03 CERVSCRN', 'Not asked or MissingNotes: respondent sex, SEXVAR, is coded 1;'], 'Frequency': ['916', '170', '4', '3', '432,230'], 'Percentage': ['83.81', '15.55', '0.37', '0.27', '.'], 'Weighted Percentage': ['73.40', '26.06', '0.32', '0.22', '.']}"
How Long since Last Mammogram,Breast and Cervical Cancer Screening,,2,289,Num,HOWLONG,,How long has it been since you had your last mammogram?,"{'Value': ['1', '2', '3', '4', '5', '7', 'BLANK'], 'Value Label': ['Within the past year (anytime less than 12 months ago)', 'Within the past 2 years (1 year but less than 2 years ago)', 'Within the past 3 years (2 years but less than 3 years ago)', 'Within the past 5 years (3 years but less than 5 years ago)', '5 or more years ago', ""Don't know/Not sure"", 'Not asked or MissingNotes: respondent sex, SEXVAR, is coded 1;  or Module 05.01, HADMAM, is coded 2, 7, 9, or Missing'], 'Frequency': ['538', '142', '82', '48', '77', '27', '432,409'], 'Percentage': ['58.86', '15.54', '8.97', '5.25', '8.42', '2.95', '.'], 'Weighted Percentage': ['61.96', '13.24', '9.82', '4.59', '6.84', '3.55', '.']}"
Have you ever had a cervical cancer screening test?,Breast and Cervical Cancer Screening,,3,290,Num,CERVSCRN,,Have you ever had a cervical cancer screening test?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No -  Go to Module 05.07 HADHYST2', ""Don't know/Not Sure -  Go to Module 05.07 HADHYST2"", 'Refused -  Go to Module 05.07 HADHYST2', 'Not asked or MissingNotes: respondent sex, SEXVAR, is coded 1;'], 'Frequency': ['585', '398', '103', '3', '432,234'], 'Percentage': ['53.72', '36.55', '9.46', '0.28', '.'], 'Weighted Percentage': ['43.32', '46.86', '9.60', '0.22', '.']}"
Time since last cervical cancer screening test,Breast and Cervical Cancer Screening,,4,291,Num,CRVCLCNC,,How long has it been since you had your last cervical cancer screening test?,"{'Value': ['1', '2', '3', '4', '5', '7', 'BLANK'], 'Value Label': ['Within the past year (anytime less than 12 months ago)', 'Within the past 2 years (1 year but less than 2 years ago)', 'Within the past 3 years (2 years but less than 3 years ago)', 'Within the past 5 years (3 years but less than 5 years ago)', '5 or more years ago', ""Don't know/Not sure"", 'Not asked or MissingNotes: respondent sex, SEXVAR, is coded 1;  or Module 05.03, CERVSCRN, is coded 2, 7, 9 or Missing;'], 'Frequency': ['254', '100', '62', '38', '98', '33', '432,738'], 'Percentage': ['43.42', '17.09', '10.60', '6.50', '16.75', '5.64', '.'], 'Weighted Percentage': ['53.08', '15.29', '8.56', '7.17', '11.01', '4.88', '.']}"
Have a PAP test and recent cervical cancer screening,Breast and Cervical Cancer Screening,,5,292,Num,CRVCLPAP,,"At your most recent cervical cancer screening, did you have a Pap test?","{'Value': ['1', '2', '7', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Not asked or MissingNotes: respondent sex, SEXVAR, is coded 1;  or Module 05.03, CERVSCRN, is coded 2, 7, 9 or Missing;'], 'Frequency': ['524', '41', '20', '432,738'], 'Percentage': ['89.57', '7.01', '3.42', '.'], 'Weighted Percentage': ['89.29', '6.98', '3.74', '.']}"
Have an H.P.V. test and recent cervical cancer screening,Breast and Cervical Cancer Screening,,6,293,Num,CRVCLHPV,,"At your most recent cervical cancer screening, did you have an H.P.V. test?","{'Value': ['1', '2', '7', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Not asked or MissingNotes: respondent sex, SEXVAR, is coded 1;  or Module 05.03, CERVSCRN, is coded 2, 7, 9 or Missing;'], 'Frequency': ['218', '177', '188', '432,740'], 'Percentage': ['37.39', '30.36', '32.25', '.'], 'Weighted Percentage': ['46.91', '25.07', '28.02', '.']}"
Had Hysterectomy,Breast and Cervical Cancer Screening,,7,294,Num,HADHYST2,,Have you had a hysterectomy?  (A hysterectomy is an operation to remove the uterus (womb).),"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: respondent sex, SEXVAR, is coded 1;  or Section 08.16, PREGNANT, is coded 1'], 'Frequency': ['287', '786', '6', '4', '432,240'], 'Percentage': ['26.50', '72.58', '0.55', '0.37', '.'], 'Weighted Percentage': ['19.92', '79.43', '0.33', '0.32', '.']}"
Ever Had PSA Test,Prostate Cancer Screening,,1,295,Num,PSATEST1,,Have you ever had a P.S.A. test?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No -  Go to Module 06.05 PCSTALK1', ""Don't know/Not Sure -  Go to Module 06.05 PCSTALK1"", 'Refused -  Go to Module 06.05 PCSTALK1', 'Not asked or MissingNotes: Section 08.01, AGE, is less than 40; or respondent sex, SEXVAR, is coded 2;'], 'Frequency': ['16,263', '11,103', '2,106', '55', '403,796'], 'Percentage': ['55.08', '37.60', '7.13', '0.19', '.'], 'Weighted Percentage': ['48.41', '44.95', '6.48', '0.16', '.']}"
